"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"Photo",-0.41770685189366,-0.586663407149474,-0.134766879720272,-0.303547810140526,-0.221443092976804,0.448642851362847,-0.25487231418911,-0.236148892938293
"Cond",0.226091267378375,-0.491040746797509,-0.0674842264553394,0.0135128025648165,-0.429530282357887,-0.277182517480696,0.664604089429918,9.99200722162641e-16
"Ci",0.265544404095695,-0.216385864101424,0.0836731758772588,0.111052716225575,-0.362751805601805,-0.506226862088107,-0.689546889457952,-1.47104550762833e-15
"Trmmol",0.500441381839603,-0.169219551133462,-0.12382379296011,0.0847096133366786,-0.036903345112671,0.51882151346003,-0.117036278371348,0.643568183176814
"iwue",-0.577859206346264,-0.0407055586080391,0.0657429357451374,-0.17333872855076,-0.0392058322726564,-0.31309824126175,0.0207857352860752,0.728047865161704
"mass_mg",-0.102922960541266,-0.314357331301458,0.805078632681631,0.441123537098618,0.165322626850335,0.137593889223976,0.0397630905118357,-6.93889390390723e-18
"percN",0.0866307855520483,0.412367657184475,0.494394123235338,-0.439537480368616,-0.582098623450268,0.20956338200036,0.0455374358771626,-1.94289029309402e-16
"n15",-0.318479240016019,0.262149526208241,-0.240937642877198,0.685812088189051,-0.515566182082341,0.188596519286922,0.00907173258328675,1.07552855510562e-16
