Indiv,leafage,Color,leaf_mass_g,leaf_area_cm2
1,2015,y,0.0329,4.4
1,2016,o,0.0225,3.7
1,2017,w,0.0325,4.6
2,2015,y,0.0217,5.5
2,2016,o,0.0196,5.5
2,2017,w,0.0173,5.9
3,2015,o,0.0412,4.7
3,2017,w,0.0325,4.7
4,2016,o,0.0147,4.8
4,2017,w,0.0175,4.8
5,2015,y,0.0197,4.8
5,2016,o,0.0213,4.9
5,2017,w,0.0148,5.5
21,2015,y,0.0342,4.7
21,2016,o,0.0231,5.55
21,2017,w,0.0321,4.3
22,2015,y,0.0216,4.8
22,2016,o,0.0197,4.9
22,2017,w,0.0183,5.3
24,2015,y,0.0161,4.3
24,2016,o,0.0199,5.2
24,2017,w,0.0151,5.2
25,2015,y,0.0217,5.2
25,2016,o,0.0214,5.6
25,2017,w,0.0199,5.1
26,2016,o,0.0222,5.5
26,2017,w,0.0134,3.1
26,2015,y,0.0181,4.2
